#TYPE Selected.Microsoft.Exchange.Data.Directory.Management.Mailbox
"PrimarySmtpAddress","Identity"
"Administrator@dex10.net","dex10.net/Users/Administrator"
"DiscoverySearchMailbox{D919BA05-46A6-415f-80AD-7E09334BB852}@dex10.net","dex10.net/Users/DiscoverySearchMailbox {D919BA05-46A6-415f-80AD-7E09334BB852}"
"btester@dex10.net","dex10.net/Staff/Bob Tester"
"MHughes@dex10.net","dex10.net/Staff/Marie Hughes"
"WHenderson@dex10.net","dex10.net/Staff/Wanda Henderson"
"SThompson@dex10.net","dex10.net/Staff/Shirley Thompson"
"LAlexander@dex10.net","dex10.net/Staff/Louise Alexander"
"AMitchell@dex10.net","dex10.net/Staff/Amy Mitchell"
"PPerez@dex10.net","dex10.net/Staff/Paula Perez"
"MWatson@dex10.net","dex10.net/Staff/Martin Watson"
"KThomas@dex10.net","dex10.net/Staff/Kenneth Thomas"
"RGreen@dex10.net","dex10.net/Staff/Ralph Green"
"CRogers@dex10.net","dex10.net/Staff/Cynthia Rogers"
"MLopez@dex10.net","dex10.net/Staff/Michael Lopez"
"JCooper@dex10.net","dex10.net/Staff/Jean Cooper"
"JButler@dex10.net","dex10.net/Staff/Janet Butler"
"RRoberts@dex10.net","dex10.net/Staff/Roger Roberts"
"JLewis@dex10.net","dex10.net/Staff/James Lewis"
"CDiaz@dex10.net","dex10.net/Staff/Carol Diaz"
"CLee@dex10.net","dex10.net/Staff/Chris Lee"
"BAllen@dex10.net","dex10.net/Staff/Bruce Allen"
"SHill@dex10.net","dex10.net/Staff/Shawn Hill"
"IWhite@dex10.net","dex10.net/Staff/Irene White"
"GBell@dex10.net","dex10.net/Staff/George Bell"
"MHernandez@dex10.net","dex10.net/Staff/Martha Hernandez"
"RWood@dex10.net","dex10.net/Staff/Ronald Wood"
"SBaker@dex10.net","dex10.net/Staff/Susan Baker"
"JFlores@dex10.net","dex10.net/Staff/Julie Flores"
"RDavis@dex10.net","dex10.net/Staff/Ruth Davis"
"JKing@dex10.net","dex10.net/Staff/Jennifer King"
"CFoster@dex10.net","dex10.net/Staff/Carlos Foster"
"BRobinson@dex10.net","dex10.net/Staff/Beverly Robinson"
"AAdams@dex10.net","dex10.net/Staff/Alice Adams"
"MNelson@dex10.net","dex10.net/Staff/Margaret Nelson"
"ARamirez@dex10.net","dex10.net/Staff/Annie Ramirez"
"ERoss@dex10.net","dex10.net/Staff/Edward Ross"
"AWilson@dex10.net","dex10.net/Staff/Andrea Wilson"
"JPrice@dex10.net","dex10.net/Staff/Judy Price"
"BWashington@dex10.net","dex10.net/Staff/Benjamin Washington"
"ECarter@dex10.net","dex10.net/Staff/Eugene Carter"
"DHarris@dex10.net","dex10.net/Staff/Donald Harris"
"JEdwards@dex10.net","dex10.net/Staff/Janice Edwards"
"HGonzalez@dex10.net","dex10.net/Staff/Heather Gonzalez"
"KSanchez@dex10.net","dex10.net/Staff/Kevin Sanchez"
"KPeterson@dex10.net","dex10.net/Staff/Katherine Peterson"
"JWalker@dex10.net","dex10.net/Staff/Johnny Walker"
"AMartin@dex10.net","dex10.net/Staff/Andrew Martin"
"RPhillips@dex10.net","dex10.net/Staff/Raymond Phillips"
"LParker@dex10.net","dex10.net/Staff/Louis Parker"
"MPowell@dex10.net","dex10.net/Staff/Mildred Powell"
"RCook@dex10.net","dex10.net/Staff/Rebecca Cook"
"SSimmons@dex10.net","dex10.net/Staff/Sean Simmons"
