#TYPE Selected.Microsoft.Exchange.Management.RecipientTasks.MailboxAcePresentationObject
"Identity"
"dex10.net/Users/Administrator"
"dex10.net/Users/SystemMailbox{1f05a927-6c11-438b-a773-0704bab77eb7}"
"dex10.net/Users/SystemMailbox{e0dc1c29-89c3-4034-b678-e6c29d823ed9}"
"dex10.net/Users/DiscoverySearchMailbox {D919BA05-46A6-415f-80AD-7E09334BB852}"
"dex10.net/Users/FederatedEmail.4c1f4d8b-8179-4148-93bf-00a95fa1e042"
"dex10.net/Staff/Bob Tester"
"dex10.net/Staff/Marie Hughes"
"dex10.net/Staff/Wanda Henderson"
"dex10.net/Staff/Shirley Thompson"
"dex10.net/Staff/Louise Alexander"
"dex10.net/Staff/Amy Mitchell"
"dex10.net/Staff/Paula Perez"
"dex10.net/Staff/Martin Watson"
"dex10.net/Staff/Kenneth Thomas"
"dex10.net/Staff/Ralph Green"
"dex10.net/Staff/Cynthia Rogers"
"dex10.net/Staff/Michael Lopez"
"dex10.net/Staff/Jean Cooper"
"dex10.net/Staff/Janet Butler"
"dex10.net/Staff/Roger Roberts"
"dex10.net/Staff/James Lewis"
"dex10.net/Staff/Carol Diaz"
"dex10.net/Staff/Chris Lee"
"dex10.net/Staff/Bruce Allen"
"dex10.net/Staff/Shawn Hill"
"dex10.net/Staff/Irene White"
"dex10.net/Staff/George Bell"
"dex10.net/Staff/Martha Hernandez"
"dex10.net/Staff/Ronald Wood"
"dex10.net/Staff/Susan Baker"
"dex10.net/Staff/Julie Flores"
"dex10.net/Staff/Ruth Davis"
"dex10.net/Staff/Jennifer King"
"dex10.net/Staff/Carlos Foster"
"dex10.net/Staff/Beverly Robinson"
"dex10.net/Staff/Alice Adams"
"dex10.net/Staff/Margaret Nelson"
"dex10.net/Staff/Annie Ramirez"
"dex10.net/Staff/Edward Ross"
"dex10.net/Staff/Andrea Wilson"
"dex10.net/Staff/Judy Price"
"dex10.net/Staff/Benjamin Washington"
"dex10.net/Staff/Eugene Carter"
"dex10.net/Staff/Donald Harris"
"dex10.net/Staff/Janice Edwards"
"dex10.net/Staff/Heather Gonzalez"
"dex10.net/Staff/Kevin Sanchez"
"dex10.net/Staff/Katherine Peterson"
"dex10.net/Staff/Johnny Walker"
"dex10.net/Staff/Andrew Martin"
"dex10.net/Staff/Raymond Phillips"
"dex10.net/Staff/Louis Parker"
"dex10.net/Staff/Mildred Powell"
"dex10.net/Staff/Rebecca Cook"
"dex10.net/Staff/Sean Simmons"
